id,name,customer_type,risk_rating,country,kyc_status,pep_status,registration_date,country_risk_level,account_count,transaction_count,total_volume_usd,total_alerts,max_alert_score,avg_alert_score
1254,Robertson-Hicks Financial,financial_institution,3,US,verified,1,2020-12-13,1,4,380,310768643.39,669,75.5,60.1
1940,"Hansen, Jones and Fletcher Financial",financial_institution,3,SE,pending,0,2021-02-12,1,2,451,170501703.28,227,75.5,60.57
629,Woods and Sons,business,3,VN,verified,0,2015-05-24,3,3,306,4857941.49,88,75.5,61.93
154,Cannon-Boyd Financial,financial_institution,3,AU,verified,0,2021-08-03,1,4,760,397681188.59,593,74.5,60.52
1313,Baker and Sons Financial,financial_institution,3,KE,verified,0,2023-07-18,3,3,570,236556493.56,360,74.5,60.25
1699,Duncan Group Financial,financial_institution,3,HK,verified,0,2015-02-11,2,3,380,207466066.6,191,74.5,59.36
1576,Gonzalez LLC Financial,financial_institution,3,AU,verified,0,2015-02-26,1,2,380,201956371.38,183,74.5,59.38
29,Cox-Osborn Financial,financial_institution,3,FR,verified,1,2017-03-15,1,3,380,139604293.73,324,73.5,59.55
11,Munoz-Roman,business,3,CH,verified,1,2014-04-30,1,3,214,5804167.22,62,73.5,59.82
318,Dalton Ltd,business,3,VN,verified,1,2017-01-07,3,4,284,6804665.07,62,73.5,59.17
1996,"Mosley, Taylor and Matthews Financial",financial_institution,3,MX,verified,0,2014-09-06,2,4,762,311523951.28,372,72.5,59.51
1654,Horne Inc Financial,financial_institution,3,PH,verified,0,2021-02-28,3,2,380,139512786.92,336,72.5,59.09
1734,"Miranda, Ruiz and Meza Financial",financial_institution,3,MA,verified,0,2020-12-28,3,3,380,208622817.66,202,72.5,60.47
118,Bell-Hicks,business,3,AU,verified,1,2019-12-30,1,2,142,3658744.55,36,71.5,59.94
1919,Wright Group Financial,financial_institution,3,FR,expired,0,2015-02-21,1,2,380,110009121.97,132,70.5,60.27
46,"Arroyo, Miller and Tucker",business,3,NO,verified,0,2014-05-27,1,4,284,2343966.6,36,70.5,59.91
691,Booth LLC,business,3,NL,verified,0,2022-01-26,1,3,142,14072022.94,20,70.5,59.17
1670,Taylor-Neal,business,3,TH,pending,1,2021-10-08,3,3,213,3453532.3,48,70.1,58.83
562,"Khan, Pena and Ruiz",business,3,VN,failed,1,2021-06-20,3,3,213,3254083.75,40,70.1,59.28
1853,"Harris, Spencer and Ponce",business,3,MA,verified,1,2022-06-27,3,1,71,832322.87,19,70.1,60.12
1475,Frank Hernandez DVM,individual,3,CH,verified,0,2016-11-02,1,2,70,3194245.24,41,70.0,54.4
459,Travis Walker,individual,3,PH,verified,0,2016-11-24,3,1,27,1324818.86,11,70.0,60.41
1487,Kelly Hendrix,individual,3,DE,verified,0,2017-07-10,1,2,47,1174307.7,8,70.0,64.88
750,Miller Group,business,3,PK,expired,0,2015-05-14,3,4,284,4557409.04,123,69.5,58.93
217,"Raymond, Little and Mullins",business,3,SE,verified,1,2014-11-24,1,4,308,7069550.27,107,69.5,57.58
1860,Levy-Smith,business,3,GB,expired,1,2015-04-30,1,4,284,3494271.3,66,69.5,58.19
206,"Sanchez, Beck and Wood",business,3,SE,verified,1,2016-07-15,1,2,142,3715358.36,46,69.5,59.36
1851,Nichols-Woodward,business,3,SG,verified,1,2014-04-23,1,2,142,4091029.81,42,69.5,60.39
950,Robert Thompson,individual,3,MX,verified,1,2018-07-07,2,2,46,255268.04,10,69.5,63.06
296,Estrada-Nolan,business,3,AU,verified,1,2016-02-02,1,4,284,7134081.67,65,69.25,57.56
1938,"Cox, Williams and Reyes",business,3,CH,verified,0,2021-12-16,1,4,342,4906157.88,80,69.0,60.07
498,Morris-Miller,business,3,VN,verified,0,2023-01-21,3,4,284,11606872.04,52,69.0,59.51
1406,Oliver-Vasquez,business,3,HK,verified,0,2018-12-10,2,3,213,4933799.94,46,69.0,59.63
819,Taylor-Ochoa,business,3,DE,verified,0,2014-07-07,1,3,213,4046700.51,37,69.0,59.76
631,Molina-Finley,business,3,NL,verified,0,2023-11-27,1,3,213,1926639.19,32,69.0,61.5
1232,Fischer-Payne,business,3,FR,verified,0,2022-04-17,1,4,213,5007305.07,23,69.0,60.75
575,Martin-Ewing,business,3,NL,verified,0,2020-04-01,1,2,142,1241054.85,19,69.0,59.96
1733,"Mcdonald, Bryant and Cohen",business,3,ZA,verified,0,2021-10-13,2,3,213,3076196.64,43,68.5,58.63
532,Saunders and Sons,business,3,GB,expired,0,2020-03-14,1,3,213,3683584.64,39,68.5,60.04
524,Ward PLC,business,3,FR,expired,0,2018-09-29,1,3,213,2336024.94,35,68.5,58.96
569,Long LLC,business,3,HK,expired,0,2022-05-26,2,3,142,2496852.11,27,68.5,59.26
1677,"Gomez, Anderson and Hart",business,3,FR,expired,0,2019-03-03,1,2,142,1346707.43,23,68.5,61.57
1054,"Washington, Lynch and Johnson",business,3,CH,expired,1,2018-11-26,1,3,142,1559500.59,27,68.1,60.29
207,"Schmidt, Coleman and Reese",business,3,DE,verified,0,2015-07-25,1,3,213,3475291.61,48,67.1,58.93
1791,"Curry, Acosta and Elliott",business,3,GB,verified,0,2016-06-12,1,4,311,5048704.4,46,67.1,59.31
1522,Obrien Inc,business,3,KE,verified,0,2014-12-25,3,3,213,3836604.52,38,67.1,58.95
23,Amy Underwood,individual,3,IN,verified,0,2017-12-26,2,2,97,1745262.74,36,67.1,61.53
1854,"Lee, Dominguez and Mosley",business,3,NL,verified,0,2018-09-07,1,3,142,3378306.71,34,67.1,57.72
1195,Carr-Lopez,business,3,PK,verified,0,2018-06-18,3,2,142,2181721.03,28,67.1,59.97
1672,Dominguez PLC,business,3,DE,verified,0,2016-09-24,1,3,213,2858998.32,28,67.1,60.75
225,"Gibbs, Perez and Mills",business,3,BR,verified,0,2019-03-22,2,2,142,887610.97,25,67.1,61.9
782,Mack Ltd,business,3,CH,verified,0,2015-03-07,1,4,213,4888628.33,25,67.1,60.74
945,Samuel Davis,individual,3,AR,expired,0,2018-10-27,2,1,23,56143.49,5,67.1,63.74
295,"Thomas, Murray and King Financial",financial_institution,3,BR,verified,0,2020-03-07,2,2,190,5249304.25,52,67.0,59.32
1611,"Wilson, Stewart and Hobbs",business,3,PK,verified,0,2014-09-06,3,3,213,4565892.57,42,67.0,57.65
1735,Callahan PLC,business,3,AU,verified,0,2014-09-14,1,3,213,2508399.7,37,67.0,59.7
1832,Scott-Norman,business,3,VN,verified,0,2021-12-10,3,2,142,1270072.54,36,67.0,59.86
221,Morales Inc,business,3,NO,verified,0,2021-06-09,1,2,142,2818927.32,33,67.0,58.28
840,Sellers-Riddle,business,3,DE,verified,0,2016-01-07,1,2,142,2166439.04,32,67.0,59.06
999,"Myers, Gamble and Sanford",business,3,NO,verified,0,2018-07-27,1,2,142,913188.49,26,67.0,61.05
1357,Watts LLC,business,3,AU,verified,0,2019-07-01,1,2,142,4321392.24,26,67.0,58.0
621,Hays-Daniels,business,3,FR,verified,0,2014-04-21,1,3,213,1091281.84,22,67.0,60.91
735,Hickman-Evans,business,3,AU,verified,0,2016-08-29,1,2,71,1604695.39,13,67.0,57.24
1877,Martinez and Sons,business,3,SG,verified,0,2017-10-10,1,2,142,1883212.52,30,66.5,57.83
1508,"Rocha, Spencer and Jones",business,3,ZA,verified,0,2020-12-17,2,3,142,1603822.39,25,66.5,58.83
62,Nunez Ltd,business,3,SE,verified,0,2022-05-31,1,4,284,4771538.06,63,66.25,59.25
1094,"Flores, Taylor and Johnson",business,3,JP,verified,0,2020-10-11,1,1,71,2126733.79,9,66.25,61.98
279,Garcia-Lozano,business,3,AR,verified,0,2021-04-09,2,4,284,1649163.42,36,66.0,60.45
659,Valdez LLC,business,3,CA,verified,0,2018-04-15,1,2,71,1348609.36,23,66.0,59.75
866,"Wallace, Smith and Cooper",business,3,JP,verified,0,2022-09-24,1,2,142,1232592.13,46,65.6,59.91
1981,Taylor PLC,business,3,NL,verified,0,2019-10-25,1,3,213,2335080.88,44,65.6,59.78
495,"Jimenez, Glass and Stone",business,3,AR,verified,0,2018-08-03,2,3,213,2248924.18,39,65.6,59.17
1903,"Villanueva, Hall and Rodriguez",business,3,DE,verified,0,2018-03-30,1,3,213,1624578.49,32,65.6,58.89
1461,Torres Inc,business,3,SE,pending,0,2015-10-19,1,2,142,3103302.08,22,65.6,58.4
419,Newman Inc,business,3,GB,verified,0,2019-06-20,1,2,71,1553222.78,15,65.6,59.3
1501,Stewart PLC,business,3,DE,expired,0,2017-02-13,1,1,71,570632.26,9,65.6,59.49
715,Smith-Patel,business,2,CA,verified,0,2020-12-16,1,2,226,1658296.51,95,65.5,55.25
1590,Dillon-Banks,business,3,CA,verified,0,2019-03-21,1,3,142,2240894.71,56,65.5,57.8
549,John Peterson,individual,2,CH,pending,0,2016-01-02,1,4,134,112585.14,46,65.5,53.41
1771,Griffith Group,business,3,KE,verified,0,2022-05-07,3,3,142,1638719.62,39,65.5,60.41
773,Hahn-Clark,business,3,TR,verified,0,2023-05-19,2,1,71,451987.4,31,65.5,56.62
877,"Blair, Bell and Jordan",business,3,JP,verified,0,2019-12-01,1,2,142,11879643.94,31,65.5,59.12
1835,Alexander Group,business,3,GB,verified,0,2014-02-22,1,1,71,908843.97,11,65.5,60.8
400,"Bowman, Roberts and Sullivan",business,3,TH,verified,0,2016-01-03,3,3,228,4537303.53,47,65.1,56.44
870,Taylor-Ayala,business,3,TH,verified,0,2023-10-18,3,4,284,3183323.11,47,65.1,58.81
1828,"Knight, Coffey and Kemp",business,3,PH,verified,0,2022-09-11,3,4,284,3135963.1,32,65.1,59.07
34,Maddox-Valencia,business,3,MA,verified,0,2015-12-04,3,3,213,1582842.81,29,65.1,60.73
1471,"Aguirre, Cohen and Mitchell",business,3,ZA,verified,0,2016-05-22,2,3,213,1519382.73,29,65.1,59.76
1761,Phelps Inc,business,3,VN,expired,0,2019-08-10,3,2,142,2343216.61,28,65.1,59.44
449,"Bowers, Young and Allen",business,3,NO,verified,0,2018-09-23,1,2,142,1187043.6,22,65.1,58.98
1323,Eaton-Smith,business,3,NO,verified,1,2016-05-09,1,3,142,737143.94,20,65.1,58.86
1385,Andrews-Green,business,3,VN,pending,0,2015-06-10,3,2,142,1011108.04,18,65.1,59.86
126,"Ball, Harmon and Lambert",business,3,AE,failed,0,2014-12-28,2,1,71,1487522.55,14,65.1,59.3
527,Key-Higgins,business,3,TH,verified,0,2019-09-10,3,1,71,1025341.57,13,65.1,59.5
1760,William Powell,individual,3,ZA,verified,0,2014-05-23,2,3,69,121708.22,12,65.1,62.39
1493,Smith-Bauer,business,3,FR,verified,0,2014-10-19,1,2,142,2892461.97,27,65.0,56.26
418,Brown LLC,business,3,DE,verified,0,2021-12-15,1,3,213,2028557.95,43,64.6,59.15
119,"Zavala, Herrera and Crosby Financial",financial_institution,2,AU,verified,0,2021-02-23,1,3,570,300590335.22,465,64.5,49.15
117,Murphy-Lin Financial,financial_institution,1,NO,verified,0,2023-01-01,1,3,574,258741298.79,429,64.5,39.59
348,Williams-Harmon Financial,financial_institution,2,DE,verified,0,2018-04-28,1,4,760,400670976.58,408,64.5,50.49
675,Turner and Sons Financial,financial_institution,2,MX,expired,0,2015-12-28,2,3,570,170180301.17,400,64.5,49.33
100,"Whitney, Martin and Ramos Financial",financial_institution,2,BR,pending,0,2015-06-14,2,4,760,339774551.82,386,64.5,49.94
1865,Johnson and Sons Financial,financial_institution,2,DE,verified,0,2020-06-07,1,4,760,513919758.65,352,64.5,50.38
1068,Thompson and Sons Financial,financial_institution,2,US,verified,0,2017-06-20,1,3,570,316786881.95,286,64.5,50.19
1671,Murphy-Gutierrez Financial,financial_institution,2,AE,verified,0,2021-01-31,2,3,570,114854691.98,229,64.5,49.66
763,Brock-Rivera Financial,financial_institution,2,AU,verified,0,2017-12-18,1,2,382,158428477.47,217,64.5,50.66
1570,Adams Group Financial,financial_institution,2,SG,verified,0,2019-12-01,1,2,380,267405269.95,208,64.5,49.79
1653,Sims-Wilson Financial,financial_institution,2,GB,verified,0,2020-01-29,1,4,570,114089999.84,178,64.5,49.26
1255,Williams-Villanueva Financial,financial_institution,2,GB,verified,0,2021-12-02,1,2,380,69951801.32,151,64.5,50.27
281,Jones LLC Financial,financial_institution,2,ZA,verified,0,2015-06-17,2,3,380,57579554.85,130,64.5,50.18
853,Adams-Clayton,business,3,AR,expired,0,2021-03-09,2,3,142,5872939.51,22,64.0,60.94
188,Hogan PLC,business,3,NO,pending,0,2015-01-13,1,1,71,846980.41,15,64.0,59.01
1465,Cannon LLC,business,3,GB,verified,0,2021-06-23,1,1,71,728949.17,15,64.0,57.07
1542,Smith-Johnson,business,3,AE,expired,0,2020-02-03,2,1,71,565097.26,11,64.0,59.71
1147,Adam Davis,individual,3,TH,pending,0,2018-05-25,3,3,69,49020.44,10,64.0,62.2
1585,Mary Williams,individual,3,GB,verified,0,2018-02-17,1,2,46,59681.05,8,64.0,60.95
1065,"Camacho, Nicholson and Robertson",business,3,AR,verified,0,2023-10-17,2,2,71,204723.33,6,64.0,62.33
568,Lisa Anderson,individual,3,SG,verified,0,2020-08-21,1,3,69,45673.55,4,64.0,62.5
1395,Danielle Davis,individual,3,BR,verified,1,2021-11-06,2,3,69,43382.18,4,64.0,62.5
313,Richard Walter,individual,3,CA,pending,1,2022-04-08,1,2,46,37829.86,3,64.0,62.67
451,Michael Hudson,individual,3,PK,pending,0,2023-07-24,3,1,23,16332.26,3,64.0,62.67
1366,Ariel Romero,individual,3,NG,verified,0,2022-05-21,3,2,46,64097.48,3,64.0,59.2
1928,John Torres,individual,3,JP,expired,0,2018-01-30,1,1,23,16405.56,2,64.0,63.0
1290,"Jones, Lee and Tucker",business,3,IN,pending,0,2016-11-20,2,3,142,1551946.81,40,63.6,56.83
1857,Cortez PLC,business,3,CH,expired,0,2020-04-04,1,3,142,5098649.0,26,63.6,58.61
84,Harris-Moran,business,3,MA,verified,0,2019-11-02,3,2,71,768258.62,20,63.6,59.91
1521,"Hanson, Garza and Williams",business,3,GB,verified,0,2016-07-24,1,2,142,1427158.53,20,63.6,60.6
910,Richardson LLC,business,3,PH,expired,0,2020-09-27,3,3,142,1897636.28,19,63.6,57.49
306,Parsons-Hall,business,3,FR,verified,0,2017-01-27,1,3,142,1381612.0,16,63.6,55.83
47,Philip Cannon,individual,3,DE,verified,0,2022-01-27,1,4,92,84842.6,13,63.6,61.4
1252,Cruz PLC,business,3,AR,verified,0,2015-04-15,2,1,71,866440.14,11,63.6,56.56
282,Michael Santos,individual,3,BR,verified,0,2017-08-03,2,2,46,63790.59,6,63.6,62.27
1287,King and Sons,business,3,HK,verified,0,2019-04-03,2,1,71,553593.43,6,63.6,60.53
1274,Joseph Taylor,individual,3,AE,verified,0,2017-11-26,2,2,46,65858.35,1,63.6,63.6
680,"Flores, Butler and Hernandez Financial",financial_institution,2,SE,expired,0,2022-10-02,1,4,760,256834162.62,450,62.5,48.97
1713,Randolph-Mcdaniel Financial,financial_institution,2,US,verified,0,2023-03-10,1,4,570,262990975.2,346,62.5,49.46
1292,Cunningham LLC Financial,financial_institution,2,BR,failed,0,2015-05-21,2,4,570,343333843.1,308,62.5,50.25
1666,"Thompson, Gibson and Riley Financial",financial_institution,2,TR,verified,0,2014-03-01,2,4,760,264435229.33,302,62.5,49.55
1934,Phillips LLC Financial,financial_institution,2,AU,verified,0,2019-05-17,1,3,570,232637610.79,282,62.5,49.92
1547,"Howe, Moore and Johnson Financial",financial_institution,2,NL,verified,0,2016-03-06,1,4,570,329108318.79,279,62.5,48.97
788,"Johnston, Griffin and Myers Financial",financial_institution,2,SE,verified,0,2022-11-17,1,3,570,238039248.49,272,62.5,48.69
1014,Peterson Group Financial,financial_institution,2,PH,failed,0,2015-04-10,3,4,760,223110453.15,249,62.5,50.31
1849,Cook-Turner Financial,financial_institution,2,TH,verified,0,2018-12-09,3,3,570,218753295.02,218,62.5,49.47
1351,Bell-Ballard Financial,financial_institution,2,NO,verified,0,2014-12-14,1,3,380,216009964.34,210,62.5,49.32
327,Wilson-Williams Financial,financial_institution,2,SG,verified,0,2019-12-01,1,3,380,183913034.55,203,62.5,50.26
1168,Clay Group Financial,financial_institution,2,US,verified,0,2022-06-07,1,2,380,146092360.98,193,62.5,49.43
405,Reese-Walker Financial,financial_institution,2,CA,verified,0,2016-01-06,1,2,380,136776657.34,186,62.5,48.51
1890,Grant and Sons Financial,financial_institution,2,AE,verified,0,2015-03-14,2,3,380,163018787.17,186,62.5,49.04
274,"Reyes, Chase and Jenkins Financial",financial_institution,2,SG,verified,0,2016-12-27,1,3,570,77994780.14,158,62.5,49.88
1495,Perkins Ltd Financial,financial_institution,2,GB,verified,0,2021-10-18,1,2,380,164845267.12,139,62.5,50.01
49,Rose-Obrien Financial,financial_institution,2,AU,verified,0,2018-06-18,1,3,190,106512950.07,91,62.5,49.79
215,Erickson and Sons Financial,financial_institution,2,DE,pending,0,2020-02-14,1,2,190,91742724.58,78,62.5,48.1
1253,"Campbell, Pruitt and Short",business,2,SG,verified,0,2019-08-18,1,3,213,6823535.41,42,62.5,50.53
1416,Holly Jimenez,individual,1,CA,verified,0,2021-05-01,1,2,55,1214876.25,26,62.5,47.88
1872,Brown and Sons,business,3,CA,verified,0,2015-12-31,1,2,142,472630.28,15,62.25,61.39
900,Salazar-Brown,business,1,SG,failed,0,2019-09-13,1,3,152,3026855.75,39,62.1,43.48
363,Ross-Blair,business,3,JP,pending,0,2018-02-06,1,2,142,96139.14,20,62.0,62.0
338,Davis-Lewis,business,3,KE,verified,0,2019-02-03,3,2,142,2005757.19,19,62.0,59.28
259,Mr. Mark Lloyd,individual,3,CA,verified,0,2019-12-26,1,4,92,82523.8,13,62.0,62.0
